"Piezo Voltage (V)";"Fast In 3 (V)";"Lock-In Out (V)";
61.151257;0.26820594;-4.4801131e-05;
61.202;0.26830181;-3.3011361e-06;
61.252758;0.26823577;4.9517039e-05;
61.303501;0.26833117;-2.1693178e-05;
61.354252;0.26827419;-3.3011361e-06;
61.405003;0.26829007;2.3107952e-05;
61.455753;0.26816311;-1.3676135e-05;
61.506451;0.26826048;4.4801131e-05;
61.557209;0.26804131;-5.0931812e-05;
61.607952;0.26803789;6.7909081e-05;
61.658703;0.26792315;4.0085222e-05;
61.709454;0.26786959;-1.1789772e-05;
61.760204;0.26789674;-1.131818e-05;
61.810947;0.26777467;1.4147726e-06;
61.86166;0.26777637;-6.0363629e-05;
61.912403;0.26779914;4.4329539e-05;
61.963154;0.26756918;2.8295451e-06;
62.013905;0.26755697;-8.5829532e-05;
62.064655;0.26750633;4.1028405e-05;
62.115398;0.2673845;1.4147726e-05;
62.166157;0.26727101;1.4147726e-05;
62.216854;0.26726294;-3.4426132e-05;
62.267597;0.26715139;1.131818e-05;
62.318356;0.26707116;-5.4704538e-05;
62.369099;0.26696107;-4.7159085e-07;
62.419849;0.26721793;9.431817e-07;
62.4706;0.26705477;1.8392044e-05;
62.521351;0.2667754;-1.5090907e-05;
62.572048;0.26699582;2.6880678e-05;
62.622807;0.26680794;-5.8948855e-05;
62.67355;0.26699093;-4.1971587e-05;
62.7243;0.26678079;-2.0278407e-05;
62.775051;0.26687667;1.0374999e-05;
62.825802;0.26665238;4.9045448e-05;
62.876545;0.26680061;2.0278407e-05;
62.927258;0.26689038;5.1874995e-06;
62.978001;0.26677346;-2.7352269e-05;
63.028751;0.26664501;-1.3676135e-05;
63.079502;0.26676977;3.395454e-05;
63.130253;0.26674044;2.6880678e-05;
63.180996;0.26666802;-2.6880678e-05;
63.231754;0.26675266;-1.697727e-05;
63.282452;0.26664454;-4.7159083e-06;
63.333195;0.26663303;-7.0267037e-05;
63.383953;0.26674214;6.130681e-06;
63.434696;0.26653445;3.7255679e-05;
63.485447;0.26670617;-6.130681e-06;
63.536198;0.26646817;3.7727268e-06;
63.586948;0.26651978;-6.4136359e-05;
63.637646;0.26639429;-0.00010233522;
63.688404;0.2663987;-7.7812489e-05;
63.739147;0.26639429;-3.914204e-05;
63.789898;0.26631528;-5.3289765e-05;
63.840649;0.26630574;-5.4232947e-05;
63.891399;0.26617292;1.4147726e-05;
63.942142;0.26625803;-1.7920453e-05;
63.992855;0.26625976;6.6022722e-06;
64.043602;0.26590139;4.7630678e-05;
64.094353;0.26595104;-5.9892038e-05;
64.145103;0.26610124;-2.1221589e-05;
64.195854;0.26583827;1.4619316e-05;
64.246597;0.26582041;-2.2636361e-05;
64.297356;0.26581454;6.6022722e-06;
64.348053;0.26567194;-6.0363629e-05;
64.398796;0.26566729;-5.9420447e-05;
64.449554;0.26550046;-1.9806816e-05;
64.500298;0.26564282;-5.8948855e-05;
64.551048;0.26561886;-5.0460221e-05;
64.601799;0.26564258;-2.3579543e-05;
64.65255;0.26539308;-1.8392044e-05;
64.703247;0.26536664;-6.4136359e-05;
64.754005;0.2653642;-5.6590902e-06;
64.804749;0.26550928;-4.1028405e-05;
64.855499;0.26522037;-9.431817e-07;
64.90625;0.26518124;1.3676135e-05;
64.957001;0.26495716;2.4522724e-05;
65.007744;0.26522014;2.5937497e-05;
65.058456;0.26490971;-7.2153402e-05;
65.1092;0.26500168;2.7352269e-05;
65.15995;0.26489136;-7.0738629e-06;
